"country","gdp","support","life_expectancy","freedom","generosity","corruption","residual"
"Afghanistan",0.628,0,0.242,0,0.091,0.088,0.672
"Albania",1.438,0.924,0.638,0.69,0.138,0.049,1.428
"Algeria",1.324,1.191,0.568,0.247,0.091,0.2,1.743
"Argentina",1.562,1.381,0.585,0.681,0.087,0.08,1.812
"Armenia",1.444,1.154,0.603,0.65,0.051,0.173,1.379
"Australia",1.854,1.461,0.692,0.756,0.225,0.323,1.745
"Austria",1.885,1.336,0.696,0.703,0.214,0.305,1.766
"Azerbaijan",1.433,0.876,0.496,0.668,0.112,0.199,1.11
"Bahrain",NA,NA,NA,NA,NA,NA,NA
"Bangladesh",1.122,0.249,0.513,0.775,0.14,0.167,0.919
"Belgium",1.868,1.44,0.69,0.729,0.17,0.311,1.686
"Benin",0.914,0.128,0.284,0.567,0.112,0.252,2.121
"Bolivia",1.217,1.179,0.488,0.719,0.1,0.061,2.02
"Bosnia and Herzegovina",1.465,1.318,0.587,0.621,0.246,0,1.64
"Botswana",1.445,0.969,0.241,0.567,0.014,0.082,0.066
"Brazil",1.43,1.269,0.548,0.685,0.13,0.142,2.068
"Bulgaria",1.629,1.469,0.567,0.62,0.083,0.006,1.088
"Burkina Faso",0.756,0.685,0.274,0.483,0.173,0.179,1.999
"Cambodia",1.011,1.019,0.442,0.863,0.17,0.071,0.765
"Cameroon",0.943,0.856,0.288,0.521,0.126,0.06,2.08
"Canada",1.84,1.459,0.701,0.73,0.23,0.368,1.572
"Chad",0.603,0.805,0.199,0.411,0.218,0.113,2.122
"Chile",1.616,1.369,0.673,0.651,0.117,0.075,1.858
"China",1.497,1.239,0.629,0.704,0.132,0.164,1.608
"Colombia",1.437,1.241,0.648,0.644,0.072,0.059,1.596
"Comoros",0.896,0.328,0.37,0.172,0.128,0.16,1.512
"Congo (Brazzaville)",0.892,0.622,0.306,0.523,0.124,0.138,2.617
"Congo (Kinshasa)",0.534,0.665,0.262,0.473,0.189,0.072,1.102
"Costa Rica",1.561,1.373,0.661,0.797,0.109,0.123,2.333
"Croatia",1.71,1.445,0.637,0.469,0.064,0.043,1.574
"Cyprus",1.794,1.217,0.744,0.529,0.124,0.049,1.611
"Czechia",1.783,1.511,0.638,0.787,0.177,0.068,1.858
"Denmark",1.908,1.52,0.699,0.823,0.204,0.548,1.881
"Dominican Republic",1.517,1.272,0.511,0.73,0.086,0.196,1.512
"Ecuador",1.315,1.151,0.64,0.606,0.087,0.078,1.846
"Egypt",1.37,0.996,0.488,0.49,0.025,0.259,0.349
"El Salvador",1.265,1.08,0.549,0.816,0.083,0.253,2.424
"Estonia",1.752,1.527,0.657,0.805,0.166,0.401,1.138
"Eswatini",1.255,0.925,0.176,0.284,0.059,0.116,0.686
"Ethiopia",0.792,0.915,0.42,0.441,0.27,0.101,0.923
"Finland",1.844,1.572,0.695,0.859,0.142,0.546,2.082
"France",1.818,1.348,0.727,0.65,0.112,0.281,1.672
"Gabon",1.403,1.038,0.344,0.516,0.045,0.1,1.66
"Gambia",0.75,0.684,0.33,0.459,0.324,0.048,1.89
"Georgia",1.467,0.99,0.524,0.68,0,0.174,1.349
"Germany",1.871,1.39,0.702,0.7,0.174,0.368,1.513
