"country","gdp","support","life_expectancy","freedom","generosity","corruption","residual"
"Afghanistan",0.645,0,0.087,0,0.093,0.059,0.976
"Albania",1.449,0.951,0.48,0.549,0.133,0.037,1.678
"Algeria",1.353,1.298,0.409,0.252,0.073,0.152,1.791
"Argentina",1.59,1.388,0.427,0.587,0.088,0.082,1.861
"Armenia",1.466,1.134,0.443,0.551,0.053,0.16,1.534
"Australia",1.899,1.497,0.532,0.677,0.242,0.31,1.938
"Austria",1.927,1.382,0.535,0.63,0.191,0.31,2.124
"Bahrain",1.883,1.269,0.389,0.748,0.199,0.138,1.546
"Bangladesh",1.133,0.513,0.355,0.617,0.139,0.165,1.361
"Belgium",1.907,1.449,0.528,0.59,0.137,0.273,1.976
"Benin",0.924,0.242,0.124,0.481,0.114,0.253,2.235
"Bolivia",1.24,1.187,0.329,0.648,0.103,0.06,2.118
"Bosnia and Herzegovina",1.467,1.361,0.429,0.485,0.247,0.008,1.635
"Botswana",1.471,1.041,0.087,0.48,0.021,0.071,0.264
"Brazil",1.454,1.25,0.387,0.558,0.131,0.137,2.205
"Bulgaria",1.635,1.457,0.408,0.557,0.106,0.013,1.289
"Burkina Faso",0.768,0.814,0.107,0.419,0.188,0.113,2.23
"Cambodia",1.025,1.024,0.283,0.768,0.176,0.051,1.068
"Cameroon",0.965,0.871,0.118,0.405,0.144,0.059,2.411
"Canada",1.881,1.484,0.541,0.656,0.218,0.364,1.815
"Chad",0.622,0.962,0.043,0.393,0.255,0.088,2.034
"Chile",1.645,1.384,0.511,0.546,0.131,0.076,2.04
"China",1.51,1.249,0.468,0.666,0.115,0.145,1.666
"Colombia",1.455,1.213,0.486,0.562,0.08,0.068,1.765
"Comoros",0.914,0.327,0.215,0.117,0.129,0.145,1.699
"Congo (Brazzaville)",0.921,0.665,0.145,0.464,0.134,0.136,2.802
"Congo (Kinshasa)",0.531,0.784,0.105,0.375,0.183,0.068,1.162
"Costa Rica",1.587,1.34,0.503,0.683,0.099,0.116,2.281
"Croatia",1.727,1.455,0.475,0.5,0.087,0.003,1.88
"Cyprus",1.824,1.224,0.58,0.455,0.104,0.05,1.893
"Czechia",1.823,1.544,0.477,0.693,0.158,0.05,2.099
"Denmark",1.949,1.548,0.537,0.734,0.208,0.525,2.084
"Dominican Republic",1.536,1.227,0.351,0.623,0.083,0.195,1.553
"Ecuador",1.343,1.173,0.476,0.56,0.079,0.069,1.86
"Egypt",1.377,0.972,0.326,0.467,0.038,0.25,0.74
"El Salvador",1.278,1.044,0.383,0.713,0.079,0.222,2.403
"Estonia",1.798,1.526,0.494,0.728,0.153,0.372,1.383
"Ethiopia",0.793,1.114,0.25,0.451,0.283,0.101,1.099
"Finland",1.888,1.585,0.535,0.772,0.126,0.535,2.363
"France",1.856,1.433,0.566,0.582,0.083,0.27,1.872
"Gabon",1.438,1.021,0.183,0.346,0.036,0.102,1.908
"Gambia",0.761,0.614,0.174,0.286,0.332,0.033,2.081
"Georgia",1.477,0.947,0.366,0.539,0,0.201,1.58
"Germany",1.919,1.401,0.539,0.618,0.153,0.365,1.898
"Ghana",1.101,0.756,0.197,0.526,0.211,0.035,1.779
"Greece",1.708,1.247,0.535,0.248,0.008,0.097,2.089
"Guatemala",1.287,1.188,0.31,0.631,0.106,0.066,2.562
"Guinea",0.844,0.776,0.072,0.369,0.204,0.102,2.705
"Honduras",1.115,1.072,0.341,0.613,0.189,0.062,2.631
"Hong Kong S.A.R. of China",1.951,1.201,0.702,0.407,0.123,0.39,0.535
"Hungary",1.754,1.519,0.435,0.501,0.105,0.065,1.663
"Iceland",1.926,1.62,0.559,0.738,0.25,0.187,2.25
"India",1.159,0.674,0.252,0.685,0.175,0.111,0.979
"Indonesia",1.384,1.169,0.314,0.663,0.422,0.038,1.288
"Iran",1.465,1.102,0.411,0.281,0.229,0.13,1.259
"Iraq",1.281,0.953,0.324,0.351,0.134,0.038,1.861
"Ireland",2.152,1.425,0.539,0.656,0.186,0.409,1.545
"Israel",1.833,1.521,0.577,0.569,0.124,0.158,2.691
"Italy",1.832,1.365,0.559,0.438,0.097,0.063,2.052
"Ivory Coast",1.094,0.584,0.12,0.467,0.138,0.131,2.519
"Jamaica",1.305,1.329,0.411,0.587,0.079,0.039,1.954
"Japan",1.825,1.396,0.622,0.556,0.009,0.207,1.513
"Jordan",1.292,0.98,0.438,0.517,0.056,0.173,0.663
"Kazakhstan",1.664,1.491,0.389,0.628,0.136,0.149,1.688
"Kenya",1.051,0.881,0.19,0.418,0.291,0.055,1.601
"Kosovo",1.374,1.269,0.372,0.639,0.275,0.045,2.393
"Kyrgyzstan",1.061,1.439,0.417,0.735,0.234,0.018,1.92
"Laos",1.232,0.853,0.257,0.715,0.185,0.162,1.707
"Latvia",1.737,1.505,0.405,0.58,0.107,0.071,1.808
"Lebanon",1.417,0.476,0.398,0.123,0.061,0.027,-0.11
"Liberia",0.628,0.644,0.141,0.471,0.219,0.071,1.869
"Lithuania",1.808,1.511,0.432,0.487,0.059,0.089,2.377
"Luxembourg",2.2,1.357,0.549,0.71,0.149,0.418,1.845
"Madagascar",0.632,0.779,0.178,0.187,0.177,0.134,1.932
"Malawi",0.637,0.479,0.189,0.49,0.139,0.129,1.432
"Malaysia",1.665,1.155,0.385,0.659,0.222,0.122,1.804
"Mali",0.763,0.637,0.106,0.441,0.121,0.059,2.07
"Malta",1.841,1.468,0.547,0.671,0.2,0.143,1.429
"Mauritania",1.099,0.764,0.244,0.32,0.13,0.195,1.973
"Mauritius",1.589,1.382,0.336,0.574,0.121,0.11,1.79
"Mexico",1.55,1.169,0.389,0.632,0.086,0.115,2.389
"Moldova",1.425,1.302,0.375,0.61,0.093,0.02,1.995
"Mongolia",1.379,1.494,0.244,0.425,0.239,0.058,2.001
"Montenegro",1.537,1.385,0.424,0.563,0.17,0.061,1.581
"Morocco",1.236,0.535,0.337,0.54,0.013,0.085,2.158
"Mozambique",0.57,0.885,0,0.625,0.161,0.192,2.519
"Myanmar",1.032,1.125,0.269,0.46,0.4,0.194,0.893
"Namibia",1.289,1.126,0.145,0.383,0.069,0.071,1.549
"Nepal",0.979,1.027,0.281,0.567,0.215,0.104,2.187
"Netherlands",1.942,1.488,0.545,0.672,0.251,0.394,2.11
"New Zealand",1.842,1.544,0.513,0.672,0.23,0.471,1.852
"Nicaragua",1.109,1.292,0.385,0.66,0.148,0.218,2.448
"Niger",0.561,0.628,0.137,0.54,0.154,0.14,2.341
"Nigeria",1.065,1.007,0.092,0.448,0.176,0.013,2.181
"North Macedonia",1.498,1.171,0.408,0.515,0.207,0.02,1.435
"Norway",1.994,1.521,0.544,0.752,0.212,0.463,1.829
"Pakistan",1.081,0.657,0.158,0.511,0.141,0.102,1.907
"Panama",1.714,1.402,0.475,0.63,0.065,0.036,1.943
"Paraguay",1.428,1.427,0.392,0.678,0.148,0.062,1.604
"Peru",1.39,1.153,0.499,0.549,0.073,0.027,1.835
"Philippines",1.238,1.108,0.286,0.714,0.104,0.141,1.931
"Poland",1.767,1.474,0.477,0.511,0.12,0.139,1.772
"Portugal",1.758,1.356,0.537,0.693,0.031,0.037,1.556
"Romania",1.726,1.28,0.423,0.631,0.044,0,2.485
"Russia",1.68,1.383,0.366,0.449,0.12,0.091,1.572
"Saudi Arabia",1.861,1.37,0.351,0.682,0.093,0.17,1.936
"Senegal",0.943,0.727,0.231,0.519,0.142,0.06,2.234
"Serbia",1.552,1.343,0.424,0.617,0.246,0.081,1.881
"Sierra Leone",0.67,0.54,0.092,0.371,0.193,0.051,1.221
"Singapore",2.168,1.354,0.607,0.66,0.17,0.561,1.067
"Slovakia",1.731,1.544,0.472,0.494,0.128,0.022,2.078
"Slovenia",1.815,1.539,0.532,0.707,0.144,0.113,1.799
"South Africa",1.417,1.428,0.149,0.464,0.09,0.019,1.708
"South Korea",1.853,1.188,0.603,0.446,0.112,0.163,1.587
"Spain",1.798,1.491,0.567,0.533,0.101,0.157,1.789
"Sri Lanka",1.422,1.224,0.426,0.539,0.12,0.086,0.625
"State of Palestine",1.144,1.309,NA,0.416,0.065,0.067,NA
"Sweden",1.921,1.51,0.562,0.754,0.225,0.52,1.903
"Switzerland",2.022,1.463,0.582,0.678,0.151,0.475,1.87
"Taiwan Province of China",1.89,1.372,0.492,0.562,0.067,0.178,1.974
"Tajikistan",0.972,1.248,0.291,0.599,0.104,0.292,1.823
"Tanzania",0.836,0.787,0.214,0.607,0.234,0.269,0.747
"Thailand",1.515,1.344,0.461,0.624,0.291,0.013,1.594
"Togo",0.77,0.642,0.161,0.367,0.149,0.136,1.913
"Tunisia",1.333,0.981,0.422,0.259,0.022,0.016,1.463
"Turkiye",1.714,1.148,0.467,0.125,0.095,0.096,0.969
"Uganda",0.785,1.144,0.201,0.425,0.197,0.051,1.628
"Ukraine",1.358,1.354,0.355,0.551,0.265,0.016,1.172
"United Arab Emirates",2.015,1.223,0.401,0.745,0.188,0.247,1.752
"United Kingdom",1.857,1.366,0.511,0.626,0.272,0.34,1.822
"United States",1.98,1.46,0.39,0.557,0.21,0.172,2.124
"Uruguay",1.617,1.445,0.435,0.683,0.102,0.254,1.958
"Uzbekistan",1.227,1.347,0.375,0.74,0.26,0.208,1.856
"Venezuela",0,1.257,0.341,0.369,0.205,0.084,2.955
"Vietnam",1.349,1.212,0.381,0.741,0.134,0.122,1.824
"Zambia",0.914,0.89,0.095,0.545,0.189,0.08,1.27
"Zimbabwe",0.758,0.881,0.069,0.363,0.112,0.117,0.905
