"country","gdp","support","life_expectancy","freedom","generosity","corruption","residual"
"Afghanistan",0.30070585,0.356433839,0.266051531,0,0.135234714,0.001225785,1.507235646
"Albania",0.906653047,0.830483913,0.846329629,0.461945891,0.171027765,0.025361285,1.640897036
"Algeria",0.943856001,1.143003583,0.745418549,0.083943799,0.118915014,0.129190654,1.840811729
"Argentina",1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059,2.072540998
"Armenia",0.808262408,1.034576893,0.77585727,0.378075808,0.107225738,0.104618184,1.468161583
"Australia",1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,2.129804134
"Austria",1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,2.398446083
"Azerbaijan",0.990272701,1.180613041,0.731134057,0.467734724,0.040113214,0.247307181,1.507632971
"Bahrain",1.296692252,1.31532371,0.838836372,0.610399902,0.287453711,0.126697257,1.751917362
"Bangladesh",0.556156278,0.868800581,0.694940507,0.604130566,0.176745117,0.176735908,1.755261898
"Belarus",1.018854499,1.38713932,0.75258857,0.290755868,0.08993306,0.193607435,1.8069911
"Belgium",1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052,2.348626614
"Benin",0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874,3.440809727
"Bolivia",0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637,2.425928593
"Bosnia and Herzegovina",0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487,2.16724205
"Botswana",0.997548997,1.08569479,0.494101733,0.50908941,0.033407487,0.101786368,0.257240534
"Brazil",0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,0.106518604,2.571860313
"Bulgaria",1.046554685,1.460578918,0.777776897,0.417820066,0.103833713,0,1.294961452
"Burkina Faso",0.302467644,0.9293859,0.312833875,0.322398156,0.186390609,0.126408055,2.588826418
"Burundi",0,0.403575271,0.295212835,0.275399059,0.187401786,0.212186828,2.401507378
"Cambodia",0.544634938,1.071426034,0.587904334,0.674940348,0.233342081,0.072837502,1.663300037
"Cameroon",0.503958046,0.89972645,0.270189553,0.439242482,0.198020101,0.054393422,2.719370842
"Canada",1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856,2.195269108
"Central African Republic",0.041072082,0,0,0.292814463,0.253513217,0.028264718,2.860197544
"Chad",0.302287489,0.739118278,0.1087441,0.228601769,0.210805088,0.085755408,2.74742651
"Chile",1.096992493,1.323286891,0.889260828,0.417482227,0.155579001,0.06284935,2.283012867
"China",0.990533412,1.132080674,0.867248535,0.601605117,0.079021044,0.117255554,1.336181879
"Colombia",0.93220371,1.33445096,0.810020149,0.526890039,0.092374094,0.04584837,2.421656609
"Comoros",0.415620774,0.723232806,0.437383324,0.181028232,0.258538276,0.100048535,2.17276907
"Congo (Brazzaville)",0.633616745,0.757636011,0.458101124,0.386514395,0.117216013,0.118670784,2.722619534
"Congo (Kinshasa)",0.062487468,0.833055019,0.277212054,0.36462298,0.254324883,0.081466645,2.437864304
"Costa Rica",0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092,2.953135014
"Croatia",1.109024286,1.311264873,0.900575578,0.381456882,0.113998979,0.012325006,1.676029205
"Cyprus",1.21279943,1.149170756,1.026124597,0.459385872,0.227932334,0.051207144,2.032334805
"Czech Republic",1.212322354,1.40528667,0.89456445,0.505744576,0.046325929,0.049803223,2.796808243
"Denmark",1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688
"Dominican Republic",0.983191848,1.328888893,0.741901696,0.5628739,0.112196781,0.115945682,1.844246864
"Ecuador",0.853383601,1.221027613,0.838837743,0.555234551,0.115006477,0.086753383,2.254933834
"Egypt",0.875228941,0.982539535,0.596911311,0.373684734,0.068801254,0.095461793,1.158818245
"El Salvador",0.748940408,1.149397612,0.752730012,0.524043918,0.1189363,0.117030352,2.937191725
"Estonia",1.192441225,1.453232527,0.842615008,0.576664805,0.125136748,0.201766819,1.629928112
"Ethiopia",0.315125644,1.001103282,0.483846247,0.41256687,0.227698103,0.117437035,1.628459215
"Finland",1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,2.762835026
"France",1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338
"Gabon",0.988044381,1.10639751,0.522574842,0.369459897,0.052013602,0.055804539,1.735027552
"Gambia",0.256990552,0.882678688,0.353247881,0.403419524,0.425989687,0.158093795,2.270216465
"Georgia",0.847198069,0.7311939,0.694657624,0.485494107,0.047609735,0.174088076,1.69239831
"Germany",1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,0.309362292,2.295249462
"Ghana",0.575862467,0.96636796,0.432162255,0.477290064,0.261291206,0.056570381,2.378437281
"Greece",1.128070116,1.168973565,0.979431748,0.173516348,0,0.048844352,2.016179085
"Guatemala",0.753815711,1.174267054,0.705952585,0.613146722,0.170611665,0.0983603,2.882723093
"Guinea",0.390007734,0.75136596,0.333655238,0.371878058,0.249490842,0.112204559,2.740729809
"Haiti",0.284734428,0.646671355,0.37436673,0.169297516,0.463909656,0.161935672,1.619916916
"Honduras",0.598763585,1.186664104,0.791989982,0.568148077,0.256528199,0.086807102,2.464295387
"Hong Kong S.A.R. of China",1.376746058,1.243584275,1.136630654,0.459356517,0.288280904,0.332485437,0.673293114
"Hungary",1.164307117,1.423009396,0.806793869,0.386401802,0.070491239,0.027548173,2.121845722
"Iceland",1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772,2.460688114
"India",0.730576158,0.644198656,0.54057014,0.581142247,0.237072483,0.105587982,0.734130859
"Indonesia",0.891720712,1.154800892,0.610437036,0.568161428,0.542646527,0.038278613,1.479573488
"Iran",1.029322505,0.886271179,0.749053836,0.301195472,0.27697894,0.142651513,1.286969423
"Iraq",0.982018709,1.011466622,0.529350698,0.283588052,0.153002068,0.073164992,1.752173662
"Ireland",1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262,1.943878174
"Israel",1.216463685,1.403256774,1.008052945,0.420699477,0.266861796,0.09989845,2.713358402
"Italy",1.236396074,1.347296,1.022504926,0.321305573,0.170266211,0.040145598,2.249505997
"Ivory Coast",0.537094414,0.799727261,0.154942513,0.397122532,0.169915587,0.093495794,3.081022501
"Jamaica",0.779058397,1.408289194,0.788434088,0.553124607,0.116268493,0.030147785,2.214436531
"Japan",1.26672411,1.332338691,1.072881341,0.495465875,0.03571178,0.181439638,1.486200333
"Jordan",0.785179198,1.140118599,0.777624726,0.424855083,0.091494769,0.151878625,1.262258053
"Kazakhstan",1.122594237,1.453267694,0.698788941,0.497432142,0.153713793,0.110463686,2.021602631
"Kenya",0.476413399,0.905077755,0.536312759,0.519180536,0.393902093,0.067201078,1.684904575
"Kosovo",0.840481341,1.183962822,0.672709167,0.557280421,0.325286865,0.008559024,2.736902714
"Kuwait",1.424833655,1.244779825,0.776468933,0.570261419,0.132751092,0.112814933,1.840167999
"Kyrgyzstan",0.513180971,1.341036677,0.680645883,0.614617765,0.30137074,0.030466691,2.060206652
"Laos",0.714693844,0.987391889,0.486378282,0.612027287,0.27266711,0.194273964,1.621152639
"Latvia",1.14139545,1.414398789,0.777902424,0.329198807,0.075407945,0.090391524,2.121283054
"Lebanon",0.889232516,1.19249332,0.788671136,0.18551667,0.158524141,0.021518147,1.53554225
"Lesotho",0.45493874,1.088940024,0.100934811,0.409367532,0.102627642,0.050483823,1.445513964
"Liberia",0.174103007,0.920733929,0.392284274,0.405943096,0.226967871,0.051139876,2.386757851
"Libya",1.021913767,1.196283698,0.615626633,0.451354057,0.142757699,0.172258079,1.888563156
"Lithuania",1.193559647,1.432865739,0.795421183,0.42046079,0.053691041,0.081350274,2.238146067
"Luxembourg",1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469,2.153700352
"Macedonia",0.935371995,1.183173537,0.802994132,0.410224587,0.18586354,0.024595059,1.617594957
"Madagascar",0.244553208,0.823694348,0.500617027,0.192967549,0.191190064,0.076248638,2.136298418
"Malawi",0.176534727,0.53036809,0.446163297,0.487389833,0.213185057,0.131633952,1.552718282
"Malaysia",1.168421626,1.17400229,0.788511872,0.596941531,0.274886161,0.062163133,1.319420815
"Maldives",0.937864304,1.402287602,0.914439559,0.548203647,0.224198252,0.071906492,1.098674774
"Mali",0.352462649,0.97314173,0.234981522,0.377534449,0.16966705,0.062146276,2.559335232
"Malta",1.252513289,1.442956924,0.972042024,0.633239031,0.341180831,0.178864077,1.952012062
"Mauritania",0.539684892,1.113323569,0.425184816,0.185714483,0.128899664,0.122257635,1.85955739
"Mauritius",1.07366395,1.395666838,0.763389409,0.590838134,0.186894551,0.084088229,2.006720543
"Mexico",1.024387479,1.226333499,0.831601024,0.553892553,0.083094485,0.083133668,2.662540197
"Moldova",0.707916796,1.237312198,0.713299453,0.389571488,0.174049184,0.014378744,2.370968342
"Mongolia",0.904872775,1.458930612,0.615788162,0.355703115,0.263885736,0.046533126,1.810527563
"Montenegro",1.010150075,1.265657902,0.839028895,0.303223848,0.14901033,0.098435111,1.880565882
"Morocco",0.75862211,0.645208478,0.745096922,0.450054139,0.040032551,0.077385604,2.378402472
"Mozambique",0.178741366,0.955202878,0.324223638,0.56077534,0.220422104,0.163064316,2.221216202
"Myanmar",0.67809093,1.098178267,0.495443076,0.597478867,0.569813728,0.187530354,0.681462526
"Namibia",0.84008199,1.245738149,0.40687117,0.444598973,0.076454483,0.054320343,1.503033161
"Nepal",0.444050372,1.100789309,0.66887939,0.480608255,0.300971806,0.127502963,2.014386892
"Netherlands",1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762,2.352117062
"New Zealand",1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276,2.128108025
"Nicaragua",0.620033145,1.27081275,0.803093255,0.560117304,0.212871477,0.174084574,2.496081114
"Niger",0.108330332,0.703800142,0.298816353,0.435311615,0.208176896,0.137554765,3.017630577
"Nigeria",0.645901859,0.986717939,0.167835936,0.435079455,0.221328124,0.047589935,2.219635487
"North Cyprus",1.21279943,1.183089137,1.026124597,0.477885723,0.199160054,0.199802905,1.23668766
"Norway",1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296
"Pakistan",0.616799474,0.872979581,0.469933242,0.405421734,0.228705063,0.122592121,2.976876736
"Palestinian Territories",0.587819219,1.194755554,0.613826573,0.29870075,0.091816261,0.071913652,1.693985701
"Panama",1.097667813,1.376149297,0.878546536,0.57984978,0.097207308,0.054230526,2.221176147
"Paraguay",0.897990823,1.36819756,0.735869646,0.586510062,0.204299241,0.065077379,1.83412528
"Peru",0.91854918,1.208405972,0.824444175,0.513210058,0.091611817,0.02703266,2.213499546
"Philippines",0.775120676,1.245381713,0.602189481,0.621915162,0.129260212,0.130385727,2.501741886
"Poland",1.16922915,1.310399771,0.868038476,0.557903528,0.063374244,0.160541251,2.056797981
"Portugal",1.168800831,1.339530349,0.979315281,0.589895189,0.053036947,0.027733466,1.752558708
"Romania",1.120401621,1.1944381,0.79229486,0.534852326,0.068181619,0.000829569,2.412749767
"Russia",1.126999617,1.378644109,0.68044591,0.399499595,0.099041916,0.045699362,1.815716743
"Rwanda",0.343242675,0.522876322,0.572383285,0.604087889,0.235704988,0.485542476,0.548444986
"Saudi Arabia",1.334328532,1.309950113,0.759818137,0.548477471,0.087440684,0.163322315,2.203118801
"Senegal",0.504061818,0.95459342,0.518391907,0.352400899,0.164397135,0.081865937,2.405123949
"Serbia",0.988181829,1.327448964,0.828403294,0.395428419,0.15028289,0.059447147,2.029040098
"Sierra Leone",0.240560383,0.747984946,0.203953966,0.382027686,0.257647008,0.047940936,2.046271801
"Singapore",1.519580126,1.39545691,1.137814283,0.635317206,0.218770906,0.533162236,0.937031746
"Slovakia",1.194837689,1.424331188,0.853465259,0.423542529,0.116729774,0.011291441,2.256422043
"Slovenia",1.208652496,1.464677691,0.932548046,0.646700144,0.145701498,0.076516323,1.888586521
"South Africa",0.902140439,1.259086251,0.407034069,0.43478182,0.126406848,0.05950214,1.625117302
"South Korea",1.245300651,1.133560538,1.022542596,0.25935635,0.170303866,0.094596282,1.946757078
"South Sudan",0.289082974,0.553278506,0.208809033,0.065609254,0.209934607,0.111156799,1.378751278
"Spain",1.230535269,1.421099186,1.051343083,0.425983816,0.16530548,0.109579779,1.997088432
"Sri Lanka",0.897986948,1.19494009,0.792036712,0.528632462,0.252666146,0.049444564,0.611288548
"Swaziland",0.827539742,1.064835191,0.215585828,0.299935788,0.067264833,0.146765873,1.686207294
"Sweden",1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267
"Switzerland",1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901,2.35026741
"Taiwan Province of China",1.327470541,1.357760668,0.878437996,0.449404389,0.150598705,0.131516352,2.160238743
"Tajikistan",0.474874616,1.218377709,0.680594802,0.521141171,0.182417125,0.221779913,2.25650835
"Tanzania",0.457163125,0.872674644,0.442677855,0.509343088,0.27154091,0.203880861,0.718963385
"Thailand",1.007029295,1.347519517,0.793855846,0.609449804,0.376709014,0.031837862,1.832384109
"Togo",0.268116266,0.547622859,0.342731178,0.303539038,0.200774252,0.114826456,2.409595251
"Trinidad and Tobago",1.167641521,1.407326221,0.658828557,0.55293113,0.199358255,0.015078396,2.190695763
"Tunisia",0.874742687,0.872167706,0.781156719,0.235860556,0.055881143,0.043899573,1.528496742
"Turkey",1.127169251,1.197159171,0.781335294,0.25440076,0.085885569,0.120983243,1.564816713
"Turkmenistan",1.008963585,1.510476947,0.612448037,0.515236676,0.323129326,0.03350389,1.115337372
"Uganda",0.312337428,1.052327394,0.378311664,0.401682556,0.264807373,0.063818842,1.958671093
"Ukraine",0.780434608,1.321316481,0.698674381,0.319423705,0.178551316,0.00965116,1.252669334
"United Arab Emirates",1.431086421,1.251170993,0.787814438,0.652936101,0.28065598,0.220213518,2.166965961
"United Kingdom",1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646,2.236721992
"United States",1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741,2.344124794
"Uruguay",1.071000457,1.425081134,0.856928885,0.59426707,0.132143691,0.193425074,2.167276382
"Uzbekistan",0.696652949,1.434020042,0.716703713,0.693270326,0.363311023,0.280260265,2.073346615
"Venezuela",0.770238638,1.348546863,0.76702553,0.271717221,0.087179154,0.063624777,1.74484086
"Vietnam",0.718092382,1.253074765,0.819133997,0.650835574,0.136488721,0.089848459,1.685977936
"Yemen",0.392701775,1.177477121,0.41500017,0.243721485,0.094689012,0.087352127,1.116472721
"Zambia",0.536833763,0.896037281,0.36359334,0.49131754,0.250620902,0.086705238,1.134339333
"Zimbabwe",0.425564021,1.047835231,0.375037611,0.37740472,0.151349187,0.080928579,0.841031075
