"country","gdp","support","life_expectancy","freedom","generosity","corruption","residual"
"Afghanistan",0.758,0,0.289,0,0.089,0.005,1.263
"Albania",1.439,0.646,0.719,0.511,0.138,0.028,1.718
"Algeria",1.363,0.97,0.643,0.146,0.106,0.15,1.744
"Argentina",1.592,1.102,0.662,0.555,0.081,0.085,1.891
"Armenia",1.434,0.82,0.668,0.558,0.054,0.21,1.654
"Australia",1.9,1.203,0.772,0.676,0.258,0.341,2.011
"Austria",1.931,1.165,0.774,0.623,0.193,0.329,2.148
"Azerbaijan",1.458,1.093,0.56,0.601,0.023,0.341,1.098
"Bahrain",1.854,1.029,0.625,0.693,0.199,0.155,2.092
"Bangladesh",1.06,0.614,0.581,0.622,0.125,0.187,1.967
"Belarus",1.562,1.157,0.629,0.342,0.04,0.282,1.811
"Belgium",1.907,1.106,0.764,0.492,0.049,0.204,2.283
"Benin",0.932,0.064,0.335,0.479,0.127,0.23,2.458
"Bolivia",1.256,0.88,0.555,0.627,0.112,0.064,2.107
"Bosnia and Herzegovina",1.468,1.068,0.665,0.448,0.244,0.006,1.869
"Botswana",1.503,0.815,0.28,0.571,0.012,0.102,0.187
"Brazil",1.462,1.044,0.615,0.546,0.131,0.134,2.361
"Bulgaria",1.625,1.163,0.64,0.563,0.123,0.021,1.235
"Burkina Faso",0.779,0.565,0.32,0.382,0.186,0.126,2.313
"Cambodia",1.019,0.732,0.505,0.74,0.166,0.068,1.41
"Cameroon",0.968,0.672,0.317,0.397,0.152,0.074,2.469
"Canada",1.886,1.188,0.783,0.659,0.217,0.368,1.924
"Chad",0.662,0.506,0.225,0.18,0.182,0.077,2.419
"Chile",1.651,1.08,0.748,0.46,0.124,0.069,2.04
"China",1.508,0.958,0.705,0.656,0.099,0.142,1.516
"Colombia",1.452,0.929,0.72,0.545,0.087,0.077,1.971
"Comoros",0.899,0.476,0.424,0.185,0.195,0.125,2.304
"Congo",0.95,0.405,0.355,0.431,0.13,0.146,2.658
"Costa Rica",1.584,1.054,0.744,0.661,0.089,0.102,2.346
"Croatia",1.705,1.183,0.709,0.535,0.109,0,1.884
"Cyprus",1.815,0.909,0.819,0.448,0.123,0.062,2.044
"Czechia",1.815,1.26,0.715,0.66,0.158,0.048,2.263
"Denmark",1.953,1.243,0.777,0.719,0.188,0.532,2.226
"Dominican Republic",1.538,1.003,0.577,0.606,0.084,0.179,1.751
